Temperature (K),Enthalpy (J/mol)
300.0,130.0
304.4,201.72000000000116
308.8,273.4400000000023
313.2,345.1600000000035
317.6,416.8799999999974
322.0,488.59999999999854
326.4,560.3199999999997
330.8,632.0400000000009
335.2,703.760000000002
339.6,775.4800000000032
344.0,847.1999999999971
348.4,918.9199999999983
352.8,990.6399999999994
357.2,1062.3600000000006
361.6,1134.0800000000017
366.0,1205.800000000003
370.4,1277.5199999999968
374.8,1349.239999999998
379.2,1420.9599999999991
383.6,1492.6800000000003
388.0,1564.4000000000015
392.4,1636.1200000000026
396.8,1707.8399999999965
401.2,1779.5599999999977
405.6,1851.2799999999988
410.0,1923.0
414.4,1994.7200000000012
418.8,2066.4399999999987
423.20000000000005,2138.16
427.6,2209.880000000001
432.0,2281.5999999999985
436.4,2353.3199999999997
440.8,2425.040000000001
445.20000000000005,2496.7599999999984
449.6,2568.4799999999996
454.0,2640.2000000000007
458.4,2711.9199999999983
462.8,2783.6399999999994
467.20000000000005,2855.3600000000006
471.6,2927.0800000000017
476.0,2998.7999999999993
480.4,3070.5200000000004
484.8,3142.239999999998
489.20000000000005,3213.959999999999
493.6,3285.6800000000003
498.0,3357.4000000000015
502.4,3429.119999999999
506.8,3500.84
511.20000000000005,3572.5600000000013
515.6,3644.279999999999
520.0,3716.0
524.4,3787.720000000001
528.8,3859.4399999999987
533.2,3931.16
537.6,4002.880000000001
542.0,4074.5999999999985
546.4000000000001,4146.32
550.8,4218.040000000001
555.2,4289.759999999998
559.6,4361.48
564.0,4433.200000000001
568.4000000000001,4504.919999999998
572.8,4576.639999999999
577.2,4648.360000000001
581.6,4720.080000000002
586.0,4791.799999999999
590.4000000000001,4863.52
594.8,4935.240000000002
599.2,5006.959999999999
603.6,5078.68
608.0,5150.4000000000015
612.4000000000001,5222.119999999999
616.8,5293.84
621.2,5365.560000000001
625.6,5437.279999999999
630.0,5509.0
634.4000000000001,5580.720000000001
638.8,5652.439999999999
643.2,5724.16
647.6,5795.880000000001
652.0,5867.5999999999985
656.4000000000001,5939.32
660.8,6011.040000000001
665.2,6082.759999999998
669.6,6154.48
674.0,6226.200000000001
678.4000000000001,6297.919999999998
682.8,6369.639999999999
687.2,6441.360000000001
691.6,6513.080000000002
696.0,6584.799999999999
700.4000000000001,6656.52
704.8,6728.240000000002
709.2,6799.959999999999
713.6,6871.68
718.0,6943.4000000000015
722.4000000000001,7015.119999999999
726.8,7086.84
731.2,7158.559999999998
735.6,7230.279999999999
740.0,7302.0
744.4000000000001,7373.720000000001
748.8,7445.439999999999
753.2,7517.16
757.6,7588.880000000001
762.0,7660.5999999999985
766.4000000000001,7732.32
770.8,7804.040000000001
775.2,7875.759999999998
779.6,7947.48
784.0,8019.200000000001
788.4000000000001,8090.919999999998
792.8000000000001,8162.640000000003
797.2,8234.36
801.6,8306.080000000002
806.0,8377.8
810.4000000000001,8449.52
814.8000000000001,8521.240000000005
819.2,8592.96
823.6,8664.68
828.0,8736.400000000001
832.4000000000001,8808.119999999999
836.8000000000001,8879.840000000004
841.2,8951.559999999998
845.6,9023.279999999999
850.0,9095.0
854.4000000000001,9166.720000000001
858.8000000000001,9238.440000000002
863.2,9310.16
867.6,9381.880000000001
872.0,9453.599999999999
876.4000000000001,9525.32
880.8000000000001,9597.040000000005
885.2,9668.759999999998
889.6,9740.48
894.0,9812.2
898.4000000000001,9883.919999999998
902.8000000000001,9955.640000000003
907.2,10027.36
911.6,10099.080000000002
916.0,10170.8
920.4000000000001,10242.52
924.8000000000001,10314.240000000005
929.2,10385.96
933.6,10457.68
938.0,10529.400000000001
942.4000000000001,10601.119999999999
946.8000000000001,10672.840000000004
951.2,10744.559999999998
955.6,10816.279999999999
960.0,10888.0
964.4000000000001,10959.720000000001
968.8000000000001,11031.439999999999
973.2,11103.16
977.6,11174.880000000001
982.0,11246.599999999999
986.4000000000001,11318.32
990.8000000000001,11390.04
995.2,11461.759999999998
999.6,11533.48
1004.0,11605.2
1008.4000000000001,11676.919999999998
1012.8000000000001,11748.64
1017.2,11820.36
1021.6,11892.080000000002
1026.0,11963.8
1030.4,12035.52
1034.8000000000002,12107.240000000002
1039.2,12178.96
1043.6,12250.68
1048.0,12322.400000000001
1052.4,12394.119999999999
1056.8000000000002,12465.840000000004
1061.2,12537.559999999998
1065.6,12609.279999999999
1070.0,12681.0
1074.4,12752.720000000001
1078.8000000000002,12824.440000000002
1083.2,12896.16
1087.6,12967.880000000001
1092.0,13039.599999999999
1096.4,13111.32
1100.8000000000002,13183.04
1105.2,13254.759999999998
1109.6,13326.48
1114.0,13398.2
1118.4,13469.919999999998
1122.8000000000002,13541.640000000003
1127.2,13613.36
1131.6,13685.080000000002
1136.0,13756.8
1140.4,13828.52
1144.8000000000002,13900.240000000002
1149.2,13971.96
1153.6,14043.68
1158.0,14115.400000000001
1162.4,14187.120000000003
1166.8000000000002,14258.840000000004
1171.2,14330.559999999998
1175.6,14402.279999999999
1180.0,14474.0
1184.4,14545.720000000001
1188.8000000000002,14617.440000000002
1193.2,14689.16
1197.6,14760.879999999997
1202.0,14832.599999999999
1206.4,14904.32
1210.8000000000002,14976.04
1215.2,15047.759999999998
1219.6,15119.48
1224.0,15191.2
1228.4,15262.920000000002
1232.8000000000002,15334.640000000003
1237.2,15406.36
1241.6,15478.079999999998
1246.0,15549.8
1250.4,15621.52
1254.8000000000002,15693.240000000002
1259.2,15764.96
1263.6,15836.68
1268.0,15908.400000000001
1272.4,15980.120000000003
1276.8000000000002,16051.840000000004
1281.2,16123.559999999998
1285.6000000000001,16195.280000000002
1290.0,16267.0
1294.4,16338.720000000001
1298.8000000000002,16410.440000000002
1303.2,16482.16
1307.6000000000001,16553.880000000005
1312.0,16625.6
1316.4,16697.32
1320.8000000000002,16769.04
1325.2,16840.76
1329.6000000000001,16912.480000000003
1334.0,16984.2
1338.4,17055.920000000002
1342.8000000000002,17127.640000000003
1347.2,17199.36
1351.6000000000001,17271.08
1356.0,17342.8
1360.4,17414.52
1364.8000000000002,17486.24
1369.2,17557.96
1373.6000000000001,17629.680000000004
1378.0,17701.4
1382.4,17773.120000000003
1386.8000000000002,17844.840000000004
1391.2,17916.559999999998
1395.6000000000001,17988.280000000002
1400.0,18060.0
1404.4,18131.72
1408.8000000000002,18203.440000000002
1413.2,18275.16
1417.6000000000001,18346.880000000005
1422.0,18418.6
1426.4,18490.32
1430.8000000000002,18562.04
1435.2,18633.76
1439.6000000000001,18705.480000000003
1444.0,18777.2
1448.4,18848.920000000002
1452.8000000000002,18920.640000000003
1457.2,18992.36
1461.6000000000001,19064.08
1466.0,19135.8
1470.4,19207.52
1474.8000000000002,19279.24
1479.2,19350.96
1483.6000000000001,19422.680000000004
1488.0,19494.4
1492.4,19566.120000000003
1496.8000000000002,19637.840000000004
1501.2,19709.559999999998
1505.6000000000001,19781.280000000002
1510.0,19853.0
1514.4,19924.72
1518.8000000000002,19996.440000000002
1523.2,20068.16
1527.6000000000001,20139.880000000005
1532.0,20211.6
1536.4,20283.32
1540.8000000000002,20355.04
1545.2,20426.76
1549.6000000000001,20498.480000000003
1554.0,20570.2
1558.4,20641.920000000002
1562.8000000000002,20713.640000000003
1567.2,20785.36
1571.6000000000001,20857.08
1576.0,20928.8
1580.4,21000.52
1584.8000000000002,21072.24
1589.2,21143.96
1593.6000000000001,21215.68
1598.0,21287.4
1602.4,21359.120000000003
1606.8000000000002,21430.840000000004
1611.2,21502.56
1615.6000000000001,21574.280000000002
1620.0,21646.0
1624.4,21717.72
1628.8000000000002,21789.440000000002
1633.2,21861.16
1637.6000000000001,21932.88
1642.0,22004.6
1646.4,22076.32
1650.8000000000002,22148.04
1655.2,22219.760000000002
1659.6000000000001,22291.480000000003
1664.0,22363.2
1668.4,22434.920000000002
1672.8000000000002,22506.640000000003
1677.2,22578.36
1681.6000000000001,22650.08
1686.0,22721.8
1690.4,22793.52
1694.8000000000002,22865.24
1699.2,22936.96
1703.6000000000001,23008.68
1708.0,23080.4
1712.4,23152.120000000003
1716.8000000000002,23223.840000000004
1721.2,23295.56
1725.6000000000001,23367.280000000002
1730.0000000000002,23439.000000000004
1734.4,23510.72
1738.8000000000002,23582.440000000002
1743.2,23654.16
1747.6000000000001,23725.88
1752.0000000000002,23797.600000000002
1756.4,23869.32
1760.8000000000002,23941.04
1765.2,24012.760000000002
1769.6000000000001,24084.480000000003
1774.0000000000002,24156.200000000004
1778.4,24227.920000000002
1782.8000000000002,24299.640000000007
1787.2,24371.36
1791.6000000000001,24443.08000000001
1796.0000000000002,24514.800000000017
1800.4,24586.520000000033
1804.8000000000002,24658.240000000078
1809.2,24729.960000000177
1813.6000000000001,24801.68000000041
1818.0000000000002,24873.400000000947
1822.4,24945.120000002185
1826.8000000000002,25016.84000000504
1831.2,25088.560000011625
1835.6000000000001,25160.28000002681
1840.0000000000002,25232.00000006186
1844.4,25303.720000142708
1848.8000000000002,25375.440000329247
1853.2,25447.1600007596
1857.6000000000001,25518.88000175249
1862.0000000000002,25590.600004043205
1866.4,25662.320009328156
1870.8000000000002,25734.040021521178
1875.2,25805.76004965193
1879.6000000000001,25877.480114552964
1884.0000000000002,25949.200264287425
1888.4,26020.920609742763
1892.8000000000002,26092.64140674954
1897.2,26164.36324553899
1901.6000000000001,26236.087487842517
1906.0000000000002,26307.81727532236
1910.4,26379.55985608772
1914.8000000000002,26451.331951956643
1919.2,26523.17213982938
1923.6000000000001,26595.16940878619
1928.0000000000002,26667.52900101625
1932.4,26740.72408217108
1936.8000000000002,26815.844427054508
1941.2,26895.394323734035
1945.6000000000001,26985.098826010875
1950.0000000000002,27097.89024593361
1954.4,27262.184494580986
1958.8000000000002,27536.540899899646
1963.2,28024.712386091196
1967.6000000000001,28851.34666360072
1972.0000000000002,30024.496712706026
1976.4,31283.319470623923
1980.8000000000002,32281.343659411592
1985.2,32910.146064383625
1989.6000000000001,33266.05492678677
1994.0000000000002,33470.62576106372
1998.4,33601.90883023595
2002.8000000000002,33699.8324321832
2007.2,33782.98399409223
2011.6000000000001,33859.67287630543
2016.0000000000002,33933.54922688339
2020.4,34006.20437282459
2024.8000000000002,34078.32979641083
2029.2,34150.22554105047
2033.6000000000001,34222.02171924118
2038.0000000000002,34293.77473859692
2042.4,34365.50905064978
2046.8000000000002,34437.23525409958
2051.2,34508.95794293206
2055.6000000000004,34580.6791083826
2060.0,34652.39961353659
2064.4,34724.11983249097
2068.8,34795.83992739475
2073.2,34867.55996852992
2077.6000000000004,34939.27998635959
2082.0,35010.99999408769
2086.4,35082.719997437365
2090.8,35154.439998889255
2095.2,35226.15999951855
2099.6000000000004,35297.87999979133
2104.0,35369.59999990955
2108.4,35441.3199999608
2112.8,35513.03999998301
2117.2,35584.75999999263
2121.6000000000004,35656.47999999681
2126.0,35728.199999998615
2130.4,35799.9199999994
2134.8,35871.639999999745
2139.2,35943.359999999884
2143.6000000000004,36015.07999999996
2148.0,36086.79999999998
2152.4,36158.51999999999
2156.8,36230.24
2161.2,36301.95999999999
2165.6000000000004,36373.68000000001
2170.0,36445.4
2174.4,36517.12
2178.8,36588.840000000004
2183.2,36660.56
2187.6000000000004,36732.280000000006
2192.0,36804.0
2196.4,36875.72
2200.8,36947.44
2205.2,37019.159999999996
2209.6000000000004,37090.880000000005
2214.0,37162.6
2218.4,37234.32
2222.8,37306.04
2227.2,37377.759999999995
2231.6000000000004,37449.48
2236.0,37521.2
2240.4,37592.92
2244.8,37664.64
2249.2,37736.36
2253.6000000000004,37808.08
2258.0,37879.8
2262.4,37951.520000000004
2266.8,38023.240000000005
2271.2000000000003,38094.96000000001
2275.6000000000004,38166.68000000001
2280.0,38238.4
2284.4,38310.12
2288.8,38381.840000000004
2293.2000000000003,38453.560000000005
2297.6000000000004,38525.280000000006
2302.0,38597.0
2306.4,38668.72
2310.8,38740.44
2315.2000000000003,38812.16
2319.6000000000004,38883.880000000005
2324.0,38955.6
2328.4,39027.32
2332.8,39099.04
2337.2000000000003,39170.76
2341.6000000000004,39242.48
2346.0,39314.2
2350.4,39385.92
2354.8,39457.64
2359.2000000000003,39529.36
2363.6000000000004,39601.08
2368.0,39672.8
2372.4,39744.520000000004
2376.8,39816.240000000005
2381.2000000000003,39887.96000000001
2385.6000000000004,39959.68000000001
2390.0,40031.4
2394.4,40103.12
2398.8,40174.840000000004
2403.2000000000003,40246.560000000005
2407.6000000000004,40318.280000000006
2412.0,40390.0
2416.4,40461.72
2420.8,40533.44
2425.2000000000003,40605.16
2429.6000000000004,40676.880000000005
2434.0,40748.6
2438.4,40820.32
2442.8,40892.04
2447.2000000000003,40963.76
2451.6000000000004,41035.48
2456.0,41107.2
2460.4,41178.92
2464.8,41250.64
2469.2000000000003,41322.36
2473.6000000000004,41394.08
2478.0,41465.8
2482.4,41537.520000000004
2486.8,41609.240000000005
2491.2000000000003,41680.96000000001
2495.6000000000004,41752.68000000001
2500.0,41824.4
